Date,EUR,GBP,JPY,CAD
2023-01-02,0.9337300062179565,0.8250600099563599,130.84500122070312,1.352810025215149
2023-01-03,0.9365299940109253,0.8289899826049805,130.79400634765625,1.3559000492095947
2023-01-04,0.9481499791145325,0.8354399800300598,131.2480010986328,1.3674099445343018
2023-01-05,0.9428300261497498,0.8293899893760681,132.24600219726562,1.3485100269317627
2023-01-06,0.9503700137138367,0.8394700288772583,133.3070068359375,1.3559900522232056
2023-01-09,0.9384099841117859,0.8253300189971924,131.86199951171875,1.3435200452804565
2023-01-10,0.931689977645874,0.8206899762153625,131.72900390625,1.3393700122833252
2023-01-11,0.931190013885498,0.8227400183677673,132.1009979248047,1.3432899713516235
2023-01-12,0.928849995136261,0.8223999738693237,131.90199279785156,1.343000054359436
2023-01-13,0.9207900166511536,0.8184800148010254,129.1719970703125,1.3375999927520752
2023-01-16,0.9238200187683105,0.8178799748420715,128.0260009765625,1.3396199941635132
2023-01-17,0.9233499765396118,0.8191499710083008,128.3209991455078,1.3397799730300903
2023-01-18,0.9265000224113464,0.8140199780464172,128.281005859375,1.3389999866485596
2023-01-19,0.926110029220581,0.8098700046539307,128.53900146484375,1.3495800495147705
2023-01-20,0.9230300188064575,0.8068900108337402,128.3699951171875,1.3463799953460693
2023-01-23,0.9203799962997437,0.8060399889945984,129.35400390625,1.3371000289916992
2023-01-24,0.9196000099182129,0.8077700138092041,130.5970001220703,1.3370100259780884
2023-01-25,0.918429970741272,0.8110799789428711,130.23899841308594,1.3374799489974976
2023-01-26,0.9155799746513367,0.8056399822235107,129.23699951171875,1.3380199670791626
2023-01-27,0.917900025844574,0.8054599761962891,129.8000030517578,1.3316099643707275
2023-01-30,0.9198399782180786,0.8064320087432861,129.85400390625,1.3303200006484985
2023-01-31,0.9215999841690063,0.8094800114631653,130.47900390625,1.338379979133606
2023-02-01,0.9207299947738647,0.8124200105667114,130.11000061035156,1.3306000232696533
2023-02-02,0.9080299735069275,0.8070999979972839,128.6219940185547,1.3274999856948853
2023-02-03,0.9169999957084656,0.8181300163269043,128.74600219726562,1.3316600322723389
2023-02-06,0.9267100095748901,0.8302099704742432,132.00900268554688,1.3399699926376343
2023-02-07,0.9319000244140625,0.8314800262451172,132.6230010986328,1.344099998474121
2023-02-08,0.9319900274276733,0.8295599818229675,131.04200744628906,1.3390100002288818
2023-02-09,0.9332000017166138,0.8284000158309937,131.38699340820312,1.344499945640564
2023-02-10,0.930899977684021,0.8252999782562256,131.5189971923828,1.3448699712753296
2023-02-13,0.9365299940109253,0.8297200202941895,131.55099487304688,1.3357399702072144
2023-02-14,0.9319300055503845,0.8228999972343445,132.33700561523438,1.3333100080490112
2023-02-15,0.9314699769020081,0.821399986743927,132.99099731445312,1.3340599536895752
2023-02-16,0.9352999925613403,0.8305799961090088,133.9029998779297,1.3390599489212036
2023-02-17,0.9375799894332886,0.8350499868392944,134.07400512695312,1.3473000526428223
2023-02-20,0.9359400272369385,0.8312699794769287,134.3070068359375,1.3481999635696411
2023-02-21,0.9361000061035156,0.8306199908256531,134.33599853515625,1.3452999591827393
2023-02-22,0.9387900233268738,0.8258100152015686,134.9759979248047,1.3534899950027466
2023-02-23,0.9428799748420715,0.8298799991607666,134.9320068359375,1.3545399904251099
2023-02-24,0.9435700178146362,0.832099974155426,134.6280059814453,1.3543200492858887
2023-02-27,0.9474400281906128,0.836650013923645,136.39500427246094,1.3593699932098389
2023-02-28,0.9423999786376953,0.8290799856185913,136.31700134277344,1.3573999404907227
2023-03-01,0.9454200267791748,0.8310099840164185,136.34800720214844,1.3645199537277222
2023-03-02,0.9373000264167786,0.8312600255012512,136.19400024414062,1.3589600324630737
2023-03-03,0.9434199929237366,0.8367099761962891,136.7050018310547,1.3594800233840942
2023-03-06,0.941070020198822,0.8313599824905396,135.86000061035156,1.3602999448776245
2023-03-07,0.9355999827384949,0.8314999938011169,135.99899291992188,1.3616199493408203
2023-03-08,0.9477999806404114,0.8454700112342834,137.39100646972656,1.3747999668121338
2023-03-09,0.9479100108146667,0.8438699841499329,137.2259979248047,1.3799400329589844
2023-03-10,0.9447600245475769,0.8387500047683716,136.39500427246094,1.3831000328063965
2023-03-13,0.9360100030899048,0.8278599977493286,134.97999572753906,1.3763799667358398
2023-03-14,0.9323999881744385,0.8216000199317932,133.11399841308594,1.373520016670227
2023-03-15,0.9321699738502502,0.8228999972343445,134.39700317382812,1.3688900470733643
2023-03-16,0.9448800086975098,0.8285499811172485,132.9290008544922,1.3764899969100952
2023-03-17,0.9421399831771851,0.82573002576828,133.3679962158203,1.3719099760055542
2023-03-20,0.9364299774169922,0.8205000162124634,132.28399658203125,1.3709800243377686
2023-03-21,0.9329100251197815,0.8145800232887268,131.39199829101562,1.3671000003814697
2023-03-22,0.9281399846076965,0.8179900050163269,132.34800720214844,1.3708800077438354
2023-03-23,0.9199299812316895,0.8143500089645386,131.1790008544922,1.3716700077056885
2023-03-24,0.9229300022125244,0.8142300248146057,130.86500549316406,1.3717000484466553
2023-03-27,0.9277999997138977,0.8165929913520813,130.8459930419922,1.3727400302886963
2023-03-28,0.925320029258728,0.8131700158119202,131.23300170898438,1.3654099702835083
2023-03-29,0.9225500226020813,0.8109999895095825,131.04600524902344,1.3593300580978394
2023-03-30,0.9222000241279602,0.8121100068092346,132.5760040283203,1.3563100099563599
2023-03-31,0.9170399904251099,0.8072800040245056,133.2010040283203,1.3521900177001953
2023-04-03,0.9256399869918823,0.8138700127601624,133.3470001220703,1.3501800298690796
2023-04-04,0.9164000153541565,0.8049499988555908,132.2989959716797,1.343369960784912
2023-04-05,0.9124000072479248,0.8001000285148621,131.48500061035156,1.3437999486923218
2023-04-06,0.9171500205993652,0.802370011806488,130.9340057373047,1.3454300165176392
2023-04-07,0.9157400131225586,0.8039230108261108,131.66900634765625,1.3494999408721924
2023-04-10,0.9162899851799011,0.8044000267982483,132.0970001220703,1.3503999710083008
2023-04-11,0.9200199842453003,0.8069599866867065,133.468994140625,1.3503400087356567
2023-04-12,0.9159600138664246,0.8044400215148926,133.593994140625,1.346250057220459
2023-04-13,0.9090999960899353,0.8004699945449829,133.0850067138672,1.343999981880188
2023-04-14,0.9046000242233276,0.7983840107917786,132.48699951171875,1.3339999914169312
2023-04-17,0.9101999998092651,0.806439995765686,133.9709930419922,1.3365000486373901
2023-04-18,0.9153000116348267,0.8080499768257141,134.4250030517578,1.3392000198364258
2023-04-19,0.9111300110816956,0.8047999739646912,134.04400634765625,1.3390899896621704
2023-04-20,0.9130600094795227,0.8045799732208252,134.70399475097656,1.3467999696731567
2023-04-21,0.9114999771118164,0.8037999868392944,133.99600219726562,1.348080039024353
2023-04-24,0.9097300171852112,0.8032299876213074,133.96099853515625,1.3538399934768677
2023-04-25,0.90420001745224,0.800000011920929,134.08399963378906,1.353369951248169
2023-04-26,0.9108800292015076,0.8054900169372559,133.71099853515625,1.361840009689331
2023-04-27,0.9052000045776367,0.801829993724823,133.46499633789062,1.363070011138916
2023-04-28,0.9064499735832214,0.8001599907875061,133.802001953125,1.359969973564148
2023-05-01,0.9081900119781494,0.7963299751281738,136.38600158691406,1.3559099435806274
2023-05-02,0.9116399884223938,0.8008999824523926,137.52099609375,1.3552000522613525
2023-05-03,0.9081900119781494,0.8015000224113464,136.46600341796875,1.3619500398635864
2023-05-04,0.9034299850463867,0.7956100106239319,134.54400634765625,1.3631900548934937
2023-05-05,0.9071999788284302,0.794700026512146,134.1790008544922,1.3523000478744507
2023-05-08,0.9075499773025513,0.7917299866676331,135.19900512695312,1.3380000591278076
2023-05-09,0.9094099998474121,0.7928500175476074,135.072998046875,1.3372399806976318
2023-05-10,0.9120200276374817,0.7921000123023987,135.28799438476562,1.337499976158142
2023-05-11,0.9104099869728088,0.791953980922699,134.08700561523438,1.3372100591659546
2023-05-12,0.9164100289344788,0.7994800209999084,134.4980010986328,1.3493000268936157
2023-05-15,0.9214299917221069,0.8031499981880188,135.82200622558594,1.3553999662399292
2023-05-16,0.9196500182151794,0.7983899712562561,136.0449981689453,1.346500039100647
2023-05-17,0.9203299880027771,0.8009999990463257,136.42999267578125,1.3477200269699097
2023-05-18,0.9226499795913696,0.8011019825935364,137.61399841308594,1.3466700315475464
2023-05-19,0.9280400276184082,0.805649995803833,138.6199951171875,1.349769949913025
2023-05-22,0.9239799976348877,0.8025000095367432,137.69200134277344,1.3487999439239502
2023-05-23,0.9249799847602844,0.8042200207710266,138.6719970703125,1.3502899408340454
2023-05-24,0.9285299777984619,0.8053299784660339,138.59800720214844,1.3499399423599243
2023-05-25,0.9296000003814697,0.8083400130271912,139.2830047607422,1.3588500022888184
2023-05-26,0.932449996471405,0.8118000030517578,140.01699829101562,1.3643200397491455
2023-05-29,0.9325699806213379,0.8099200129508972,140.87100219726562,1.3609000444412231
2023-05-30,0.9339100122451782,0.8097599744796753,140.4409942626953,1.3601000308990479
2023-05-31,0.9316999912261963,0.805679976940155,139.79200744628906,1.359969973564148
2023-06-01,0.9350000023841858,0.803409993648529,139.1269989013672,1.356600046157837
2023-06-02,0.9293000102043152,0.7983400225639343,138.7480010986328,1.3443000316619873
2023-06-05,0.9347000122070312,0.8044899702072144,140.20700073242188,1.342829942703247
2023-06-06,0.9335500001907349,0.8043000102043152,139.38299560546875,1.3447999954223633
2023-06-07,0.9347500205039978,0.8046000003814697,139.52699279785156,1.339859962463379
2023-06-08,0.933929979801178,0.8034800291061401,139.8990020751953,1.3371599912643433
2023-06-09,0.9274100065231323,0.796209990978241,138.86300659179688,1.3361999988555908
2023-06-12,0.9301499724388123,0.7948499917984009,139.37100219726562,1.3336800336837769
2023-06-13,0.9291099905967712,0.799019992351532,139.4600067138672,1.336300015449524
2023-06-14,0.9268400073051453,0.7932199835777283,140.177001953125,1.331470012664795
2023-06-15,0.922249972820282,0.7892100214958191,139.9770050048828,1.3326400518417358
2023-06-16,0.9135800004005432,0.7821199893951416,140.26800537109375,1.3221900463104248
2023-06-19,0.9139000177383423,0.7793999910354614,141.86700439453125,1.3198000192642212
2023-06-20,0.9153900146484375,0.7815700173377991,141.8990020751953,1.3209500312805176
2023-06-21,0.9157199859619141,0.7833700180053711,141.3350067138672,1.3225599527359009
2023-06-22,0.9096999764442444,0.7829599976539612,141.68800354003906,1.316100001335144
2023-06-23,0.9125000238418579,0.7844899892807007,143.02999877929688,1.3145899772644043
2023-06-26,0.9168699979782104,0.7855700254440308,143.54100036621094,1.3164700269699097
2023-06-27,0.9165499806404114,0.7866600155830383,143.4600067138672,1.315000057220459
2023-06-28,0.9126399755477905,0.7846400141716003,143.8820037841797,1.3197699785232544
2023-06-29,0.916100025177002,0.7909799814224243,144.38900756835938,1.3251800537109375
2023-06-30,0.9201300144195557,0.7927299737930298,144.77999877929688,1.3250000476837158
2023-07-03,0.9168000221252441,0.7878199815750122,144.3979949951172,1.3250000476837158
2023-07-04,0.9163299798965454,0.7878400087356567,144.58399963378906,1.3248000144958496
2023-07-05,0.9186999797821045,0.7863100171089172,144.406005859375,1.322350025177002
2023-07-06,0.9211000204086304,0.78711998462677,144.48899841308594,1.3285900354385376
2023-07-07,0.9182199835777283,0.7847599983215332,143.9510040283203,1.3365399837493896
2023-07-10,0.9115999937057495,0.7788800001144409,142.20899963378906,1.3278000354766846
2023-07-11,0.9085999727249146,0.7773200273513794,141.2969970703125,1.3273999691009521
2023-07-12,0.9079300165176392,0.7731099724769592,140.1179962158203,1.3227699995040894
2023-07-13,0.8973000049591064,0.7694500088691711,138.31500244140625,1.3182799816131592
2023-07-14,0.8909900188446045,0.7616999745368958,138.0749969482422,1.3112499713897705
2023-07-17,0.8906499743461609,0.7639300227165222,138.6820068359375,1.3224999904632568
2023-07-18,0.8898699879646301,0.7650099992752075,138.72900390625,1.3201500177383423
2023-07-19,0.89055997133255,0.7671599984169006,139.02699279785156,1.3166199922561646
2023-07-20,0.8924400210380554,0.7728099822998047,139.59800720214844,1.3163000345230103
2023-07-21,0.8978999853134155,0.7768599987030029,139.86399841308594,1.3174200057983398
2023-07-24,0.8988500237464905,0.777999997138977,141.75,1.3223999738693237
2023-07-25,0.9039000272750854,0.7804800271987915,141.52200317382812,1.3174599409103394
2023-07-26,0.9049400091171265,0.7755600214004517,140.91299438476562,1.3187099695205688
2023-07-27,0.9026600122451782,0.7735599875450134,140.36700439453125,1.3204599618911743
2023-07-28,0.9108499884605408,0.7816299796104431,138.86399841308594,1.322700023651123
2023-07-31,0.9070900082588196,0.777970016002655,140.75799560546875,1.3250999450683594
2023-08-01,0.9092900156974792,0.7791799902915955,142.322998046875,1.319200038909912
